,content,comments,nickname,url
0,X,[0],X,X
1,마이너 갤러리 - 관리 기능 추가 안내,[0],X,https://gall.dcinside.com/http://gall.dcinside.com/list.php?id=know&page=&keyword=&no=292
2,"[디시人터뷰] 송유진-전재익, 컬링 신예에서 컬링 스타로",[0],X,https://gall.dcinside.com/https://dcnewsj.joins.com/dcarticle/28671
3,삭제된 게시글 및 ip차단목록,[0],ㅇㅇ,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35424&page=1
4,유튜브 훈수충들 씨발 진짜,[4],김딱딱너딱딱해,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35440&page=1
5,침튜브 왜케 짧게 안끊고 한영상을 길게 가져가는거야?,[16],(118.235),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35438&page=1
6,와 매직박 안본사이에 유튜브 구독자수 많이 늘었네,[3],(175.113),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35433&page=1
7,오프닝이랑 엔딩 곡 뭐에요?,[2],(110.70),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35432&page=1
8,방장이나 배도라지가 롤하는거 보는게 재밌는거지,[3],(183.103),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35431&page=1
9,방장도 게임영상에 대한 고민은 많았음,[2],(175.223),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35430&page=1
10,구의동 버거형제 이제야 보는데,[2],(119.195),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35429&page=1
11,영걸전이 아니라 간옹전이네,[0],ㅇㅇ,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35427&page=1
12,유투브 훈수충 왜케 많누,[3],(59.23),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35426&page=1
13,보통 유튭에서 잘나가는 롤영상들보면,[1],(117.111),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35425&page=1
14,침방송 라이브보면 건질포인트 되게많은데,[5],(175.223),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35422&page=1
15,침착맨 방송보니까 롤이 땡기네,[1],(211.169),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35420&page=1
16,머리크기,[6],꼬꼬,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35416&page=1
17,침착맨 방송 엔딩송 제목이뭐야?,[2],(58.236),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35414&page=1
