,content,comments,nickname,url
0,X,[0],X,X
1,"[디시人터뷰] 송유진-전재익, 컬링 신예에서 컬링 스타로",[0],X,https://gall.dcinside.com/https://dcnewsj.joins.com/dcarticle/28671
2,■■■■ 질문하기 전에 한번쯤은 읽어보고 질문하길 ■■■■,[52],땅땅,https://gall.dcinside.com//board/view/?id=travel&no=29283&page=1
3,질문 글은 Q&A게시판에 올려주시기 바랍니다.,[58],X,https://gall.dcinside.com//board/view/?id=travel&no=19282&page=1
4,제주도 제주시 칠성통,[0],(223.62),https://gall.dcinside.com//board/view/?id=travel&no=65097&page=1
5,이맘때 동백꽃 피는 철인가?,[0],찬스킴,https://gall.dcinside.com//board/view/?id=travel&no=65096&page=1
6,4월초에 국내 혼자여행갈만한곳 있나요.,[0],(106.102),https://gall.dcinside.com//board/view/?id=travel&no=65095&page=1
7,대관령양떼목장 대중교통으로는 가기 힘든가요?,[1],(39.114),https://gall.dcinside.com//board/view/?id=travel&no=65094&page=1
8,제주도,[0],(1.231),https://gall.dcinside.com//board/view/?id=travel&no=65092&page=1
9,'기생충 피자집' 한류 관광 코스 된 근황,[0],(61.43),https://gall.dcinside.com//board/view/?id=travel&no=65091&page=1
10,부산 여행 겨울바다 계획중이신분 꼭 보세요~~!!,[0],밍구,https://gall.dcinside.com//board/view/?id=travel&no=65090&page=1
11,요즘 뜨는 기생충 투어~~ ^^우리슈퍼 ^^,[0],푸쉬,https://gall.dcinside.com//board/view/?id=travel&no=65088&page=1
12,[소니 FDR-X3000] 덕수궁 돌담길을 한 바퀴 둘러봤어요!,[0],(1.235),https://gall.dcinside.com//board/view/?id=travel&no=65087&page=1
13,나혼산 제주도 카트 잼써보임!!,[0],(1.222),https://gall.dcinside.com//board/view/?id=travel&no=65086&page=1
14,혼자가기 좋은 국내여행지 추천 좀,[6],00,https://gall.dcinside.com//board/view/?id=travel&no=65083&page=1
15,혼자 국내 여행을 해보려하는데,[1],(223.62),https://gall.dcinside.com//board/view/?id=travel&no=65081&page=1
16,제주도 개꿀이네 지금이,[0],(223.62),https://gall.dcinside.com//board/view/?id=travel&no=65079&page=1
17,펜션,[0],(218.154),https://gall.dcinside.com//board/view/?id=travel&no=65077&page=1
18,이거 진짜 있는거임?,[0],ㅇㅇ,https://gall.dcinside.com//board/view/?id=travel&no=65076&page=1
19,도시에서 평균 몇만보걸어야 여행 잘다닌거냐?,[2],(110.70),https://gall.dcinside.com//board/view/?id=travel&no=65075&page=1
20,강릉 킹크랩 싸냐? 술마시고 다닐꺼라 차 안가지고 갈라하는데 괜찮을까,[0],(121.167),https://gall.dcinside.com//board/view/?id=travel&no=65074&page=1
